,computed_result,actual_result,model,metric,time,model_correct
128,True,True,VGG-Face,cosine,0.5,True
129,True,True,VGG-Face,euclidean,0.46,True
130,True,True,Facenet,cosine,0.19,True
131,True,True,Facenet,euclidean,0.21,True
132,True,True,Facenet512,cosine,0.19,True
133,True,True,Facenet512,euclidean,0.18,True
134,False,True,OpenFace,cosine,0.14,False
135,False,True,OpenFace,euclidean,0.15,False
136,True,True,DeepFace,cosine,0.22,True
137,True,True,DeepFace,euclidean,0.24,True
138,True,True,ArcFace,cosine,0.25,True
139,True,True,ArcFace,euclidean,0.26,True
140,True,True,Dlib,cosine,0.36,True
141,True,True,Dlib,euclidean,0.72,True
142,True,True,SFace,cosine,0.13,True
143,True,True,SFace,euclidean,0.11,True
144,False,False,VGG-Face,cosine,0.6,True
145,False,False,VGG-Face,euclidean,0.56,True
146,False,False,Facenet,cosine,0.22,True
147,False,False,Facenet,euclidean,0.2,True
148,False,False,Facenet512,cosine,0.21,True
149,False,False,Facenet512,euclidean,0.2,True
150,False,False,OpenFace,cosine,0.14,True
151,False,False,OpenFace,euclidean,0.15,True
152,False,False,DeepFace,cosine,0.23,True
153,False,False,DeepFace,euclidean,0.23,True
154,False,False,ArcFace,cosine,0.25,True
155,False,False,ArcFace,euclidean,0.24,True
156,False,False,Dlib,cosine,0.14,True
157,False,False,Dlib,euclidean,0.16,True
158,False,False,SFace,cosine,0.11,True
159,False,False,SFace,euclidean,0.07,True
160,True,True,VGG-Face,cosine,0.53,True
161,True,True,VGG-Face,euclidean,0.46,True
162,False,True,Facenet,cosine,0.18,False
163,False,True,Facenet,euclidean,0.17,False
164,True,True,Facenet512,cosine,0.17,True
165,True,True,Facenet512,euclidean,0.18,True
166,False,True,OpenFace,cosine,0.14,False
167,False,True,OpenFace,euclidean,0.13,False
168,False,True,DeepFace,cosine,0.22,False
169,True,True,DeepFace,euclidean,0.23,True
170,True,True,ArcFace,cosine,0.26,True
171,True,True,ArcFace,euclidean,0.25,True
172,True,True,Dlib,cosine,0.11,True
173,True,True,Dlib,euclidean,0.16,True
174,True,True,SFace,cosine,0.11,True
175,True,True,SFace,euclidean,0.07,True
176,True,True,VGG-Face,cosine,0.52,True
177,True,True,VGG-Face,euclidean,0.49,True
178,False,True,Facenet,cosine,0.19,False
179,True,True,Facenet,euclidean,0.17,True
180,False,True,Facenet512,cosine,0.17,False
181,True,True,Facenet512,euclidean,0.17,True
182,False,True,OpenFace,cosine,0.15,False
183,False,True,OpenFace,euclidean,0.15,False
184,False,True,DeepFace,cosine,0.25,False
185,False,True,DeepFace,euclidean,0.24,False
186,True,True,ArcFace,cosine,0.28,True
187,True,True,ArcFace,euclidean,0.25,True
188,False,True,Dlib,cosine,0.11,False
189,True,True,Dlib,euclidean,0.24,True
190,False,True,SFace,cosine,0.13,False
191,True,True,SFace,euclidean,0.08,True
192,True,True,VGG-Face,cosine,0.54,True
193,True,True,VGG-Face,euclidean,0.48,True
194,True,True,Facenet,cosine,0.18,True
195,True,True,Facenet,euclidean,0.17,True
196,True,True,Facenet512,cosine,0.18,True
197,True,True,Facenet512,euclidean,0.2,True
198,False,True,OpenFace,cosine,0.14,False
199,False,True,OpenFace,euclidean,0.13,False
200,False,True,DeepFace,cosine,0.22,False
201,True,True,DeepFace,euclidean,0.23,True
202,True,True,ArcFace,cosine,0.23,True
203,True,True,ArcFace,euclidean,0.23,True
204,True,True,Dlib,cosine,0.11,True
205,True,True,Dlib,euclidean,0.14,True
206,True,True,SFace,cosine,0.11,True
207,True,True,SFace,euclidean,0.07,True
208,True,False,VGG-Face,cosine,0.47,False
209,True,False,VGG-Face,euclidean,0.45,False
210,False,False,Facenet,cosine,0.2,True
211,False,False,Facenet,euclidean,0.18,True
212,False,False,Facenet512,cosine,0.19,True
213,False,False,Facenet512,euclidean,0.18,True
214,False,False,OpenFace,cosine,0.15,True
215,False,False,OpenFace,euclidean,0.15,True
216,False,False,DeepFace,cosine,0.23,True
217,False,False,DeepFace,euclidean,0.24,True
218,False,False,ArcFace,cosine,0.26,True
219,False,False,ArcFace,euclidean,0.26,True
220,False,False,Dlib,cosine,0.12,True
221,False,False,Dlib,euclidean,0.2,True
222,False,False,SFace,cosine,0.1,True
223,False,False,SFace,euclidean,0.06,True
224,False,False,VGG-Face,cosine,0.56,True
225,True,False,VGG-Face,euclidean,0.47,False
226,False,False,Facenet,cosine,0.16,True
227,False,False,Facenet,euclidean,0.18,True
228,False,False,Facenet512,cosine,0.18,True
229,False,False,Facenet512,euclidean,0.17,True
230,False,False,OpenFace,cosine,0.16,True
231,False,False,OpenFace,euclidean,0.18,True
232,False,False,DeepFace,cosine,0.36,True
233,True,False,DeepFace,euclidean,0.31,False
234,False,False,ArcFace,cosine,0.36,True
235,False,False,ArcFace,euclidean,0.42,True
236,False,False,Dlib,cosine,0.28,True
237,False,False,Dlib,euclidean,0.3,True
238,False,False,SFace,cosine,0.13,True
239,False,False,SFace,euclidean,0.08,True
240,True,False,VGG-Face,cosine,0.72,False
241,True,False,VGG-Face,euclidean,0.63,False
242,False,False,Facenet,cosine,0.25,True
243,False,False,Facenet,euclidean,0.23,True
244,False,False,Facenet512,cosine,0.26,True
245,False,False,Facenet512,euclidean,0.29,True
246,False,False,OpenFace,cosine,0.16,True
247,False,False,OpenFace,euclidean,0.16,True
248,False,False,DeepFace,cosine,0.33,True
249,True,False,DeepFace,euclidean,0.31,False
250,False,False,ArcFace,cosine,0.36,True
251,False,False,ArcFace,euclidean,0.36,True
252,False,False,Dlib,cosine,1.24,True
253,False,False,Dlib,euclidean,0.23,True
254,False,False,SFace,cosine,0.13,True
255,False,False,SFace,euclidean,0.1,True
256,True,True,VGG-Face,cosine,0.59,True
257,True,True,VGG-Face,euclidean,0.59,True
258,True,True,Facenet,cosine,0.27,True
259,True,True,Facenet,euclidean,0.24,True
260,False,True,Facenet512,cosine,0.26,False
261,True,True,Facenet512,euclidean,0.23,True
262,False,True,OpenFace,cosine,0.19,False
263,False,True,OpenFace,euclidean,0.17,False
264,False,True,DeepFace,cosine,0.29,False
265,False,True,DeepFace,euclidean,0.3,False
266,True,True,ArcFace,cosine,0.36,True
267,False,True,ArcFace,euclidean,0.36,False
268,True,True,Dlib,cosine,0.23,True
269,True,True,Dlib,euclidean,0.2,True
270,True,True,SFace,cosine,0.13,True
271,True,True,SFace,euclidean,0.09,True
272,True,True,VGG-Face,cosine,0.61,True
273,True,True,VGG-Face,euclidean,0.6,True
274,True,True,Facenet,cosine,0.24,True
275,True,True,Facenet,euclidean,0.26,True
276,False,True,Facenet512,cosine,0.24,False
277,True,True,Facenet512,euclidean,0.24,True
278,False,True,OpenFace,cosine,0.17,False
279,False,True,OpenFace,euclidean,0.18,False
280,True,True,DeepFace,cosine,0.28,True
281,False,True,DeepFace,euclidean,0.27,False
282,True,True,ArcFace,cosine,0.32,True
283,True,True,ArcFace,euclidean,0.24,True
284,True,True,Dlib,cosine,0.11,True
285,True,True,Dlib,euclidean,0.33,True
286,True,True,SFace,cosine,0.14,True
287,False,True,SFace,euclidean,0.07,False
288,True,True,VGG-Face,cosine,0.51,True
289,True,True,VGG-Face,euclidean,0.53,True
290,False,True,Facenet,cosine,0.17,False
291,False,True,Facenet,euclidean,0.2,False
292,False,True,Facenet512,cosine,0.21,False
293,True,True,Facenet512,euclidean,0.22,True
294,False,True,OpenFace,cosine,0.16,False
295,True,True,OpenFace,euclidean,0.15,True
296,False,True,DeepFace,cosine,0.2,False
297,False,True,DeepFace,euclidean,0.21,False
298,False,True,ArcFace,cosine,0.39,False
299,False,True,ArcFace,euclidean,0.3,False
300,False,True,Dlib,cosine,0.21,False
301,False,True,Dlib,euclidean,0.16,False
302,False,True,SFace,cosine,0.11,False
303,False,True,SFace,euclidean,0.08,False
304,True,False,VGG-Face,cosine,0.7,False
305,True,False,VGG-Face,euclidean,0.56,False
306,False,False,Facenet,cosine,0.19,True
307,False,False,Facenet,euclidean,0.17,True
308,False,False,Facenet512,cosine,0.19,True
309,False,False,Facenet512,euclidean,0.19,True
310,False,False,OpenFace,cosine,0.15,True
311,False,False,OpenFace,euclidean,0.18,True
312,True,False,DeepFace,cosine,0.23,False
313,True,False,DeepFace,euclidean,0.2,False
314,False,False,ArcFace,cosine,0.23,True
315,False,False,ArcFace,euclidean,0.23,True
316,False,False,Dlib,cosine,0.11,True
317,False,False,Dlib,euclidean,0.34,True
318,False,False,SFace,cosine,0.13,True
319,False,False,SFace,euclidean,0.08,True
320,False,False,VGG-Face,cosine,0.55,True
321,True,False,VGG-Face,euclidean,0.46,False
322,False,False,Facenet,cosine,0.18,True
323,False,False,Facenet,euclidean,0.18,True
324,False,False,Facenet512,cosine,0.23,True
325,False,False,Facenet512,euclidean,0.21,True
326,False,False,OpenFace,cosine,0.15,True
327,False,False,OpenFace,euclidean,0.17,True
328,False,False,DeepFace,cosine,0.22,True
329,False,False,DeepFace,euclidean,0.23,True
330,False,False,ArcFace,cosine,0.24,True
331,False,False,ArcFace,euclidean,0.39,True
332,False,False,Dlib,cosine,0.15,True
333,False,False,Dlib,euclidean,0.17,True
334,False,False,SFace,cosine,0.14,True
335,False,False,SFace,euclidean,0.11,True
336,False,False,VGG-Face,cosine,0.48,True
337,False,False,VGG-Face,euclidean,0.46,True
338,False,False,Facenet,cosine,0.17,True
339,False,False,Facenet,euclidean,0.17,True
340,False,False,Facenet512,cosine,0.2,True
341,False,False,Facenet512,euclidean,0.24,True
342,False,False,OpenFace,cosine,0.17,True
343,False,False,OpenFace,euclidean,0.17,True
344,False,False,DeepFace,cosine,0.34,True
345,False,False,DeepFace,euclidean,0.29,True
346,False,False,ArcFace,cosine,0.36,True
347,False,False,ArcFace,euclidean,0.36,True
348,False,False,Dlib,cosine,0.46,True
349,False,False,Dlib,euclidean,0.16,True
350,False,False,SFace,cosine,0.12,True
351,False,False,SFace,euclidean,0.09,True
352,True,True,VGG-Face,cosine,0.6,True
353,True,True,VGG-Face,euclidean,0.63,True
354,True,True,Facenet,cosine,0.25,True
355,True,True,Facenet,euclidean,0.18,True
356,True,True,Facenet512,cosine,0.18,True
357,True,True,Facenet512,euclidean,0.19,True
358,False,True,OpenFace,cosine,0.23,False
359,False,True,OpenFace,euclidean,0.19,False
360,False,True,DeepFace,cosine,0.24,False
361,True,True,DeepFace,euclidean,0.22,True
362,True,True,ArcFace,cosine,0.26,True
363,True,True,ArcFace,euclidean,0.25,True
364,True,True,Dlib,cosine,0.12,True
365,True,True,Dlib,euclidean,0.13,True
366,True,True,SFace,cosine,0.11,True
367,False,True,SFace,euclidean,0.06,False
368,True,True,VGG-Face,cosine,0.49,True
369,True,True,VGG-Face,euclidean,0.46,True
370,True,True,Facenet,cosine,0.2,True
371,True,True,Facenet,euclidean,0.18,True
372,True,True,Facenet512,cosine,0.24,True
373,True,True,Facenet512,euclidean,0.29,True
374,False,True,OpenFace,cosine,0.15,False
375,False,True,OpenFace,euclidean,0.14,False
376,False,True,DeepFace,cosine,0.25,False
377,True,True,DeepFace,euclidean,0.24,True
378,True,True,ArcFace,cosine,0.33,True
379,True,True,ArcFace,euclidean,0.3,True
380,True,True,Dlib,cosine,0.16,True
381,True,True,Dlib,euclidean,0.22,True
382,True,True,SFace,cosine,0.13,True
383,False,True,SFace,euclidean,0.07,False
384,True,True,VGG-Face,cosine,0.56,True
385,True,True,VGG-Face,euclidean,0.53,True
386,True,True,Facenet,cosine,0.19,True
387,True,True,Facenet,euclidean,0.26,True
388,False,True,Facenet512,cosine,0.2,False
389,True,True,Facenet512,euclidean,0.19,True
390,False,True,OpenFace,cosine,0.13,False
391,False,True,OpenFace,euclidean,0.15,False
392,True,True,DeepFace,cosine,0.3,True
393,True,True,DeepFace,euclidean,0.22,True
394,True,True,ArcFace,cosine,0.23,True
395,False,True,ArcFace,euclidean,0.23,False
396,True,True,Dlib,cosine,0.41,True
397,True,True,Dlib,euclidean,0.18,True
398,True,True,SFace,cosine,0.11,True
399,False,True,SFace,euclidean,0.08,False
400,True,True,VGG-Face,cosine,0.48,True
401,True,True,VGG-Face,euclidean,0.48,True
402,True,True,Facenet,cosine,0.18,True
403,False,True,Facenet,euclidean,0.2,False
404,False,True,Facenet512,cosine,0.26,False
405,True,True,Facenet512,euclidean,0.2,True
406,False,True,OpenFace,cosine,0.14,False
407,False,True,OpenFace,euclidean,0.13,False
408,True,True,DeepFace,cosine,0.24,True
409,True,True,DeepFace,euclidean,0.31,True
410,True,True,ArcFace,cosine,0.29,True
411,True,True,ArcFace,euclidean,0.23,True
412,True,True,Dlib,cosine,0.19,True
413,True,True,Dlib,euclidean,0.3,True
414,True,True,SFace,cosine,0.15,True
415,True,True,SFace,euclidean,0.1,True
416,True,True,VGG-Face,cosine,1.03,True
417,True,True,VGG-Face,euclidean,1.2,True
418,True,True,Facenet,cosine,0.32,True
419,True,True,Facenet,euclidean,0.31,True
420,True,True,Facenet512,cosine,0.52,True
421,True,True,Facenet512,euclidean,0.33,True
422,False,True,OpenFace,cosine,0.25,False
423,True,True,OpenFace,euclidean,0.24,True
424,True,True,DeepFace,cosine,0.41,True
425,True,True,DeepFace,euclidean,0.38,True
426,True,True,ArcFace,cosine,0.47,True
427,True,True,ArcFace,euclidean,0.49,True
428,True,True,Dlib,cosine,0.21,True
429,True,True,Dlib,euclidean,0.46,True
430,True,True,SFace,cosine,0.17,True
431,True,True,SFace,euclidean,0.11,True
432,True,True,VGG-Face,cosine,0.54,True
433,True,True,VGG-Face,euclidean,0.65,True
434,True,True,Facenet,cosine,0.3,True
435,True,True,Facenet,euclidean,0.25,True
436,True,True,Facenet512,cosine,0.21,True
437,True,True,Facenet512,euclidean,0.2,True
438,False,True,OpenFace,cosine,0.14,False
439,False,True,OpenFace,euclidean,0.15,False
440,True,True,DeepFace,cosine,0.29,True
441,True,True,DeepFace,euclidean,0.35,True
442,True,True,ArcFace,cosine,0.27,True
443,True,True,ArcFace,euclidean,0.32,True
444,True,True,Dlib,cosine,0.13,True
445,True,True,Dlib,euclidean,0.23,True
446,True,True,SFace,cosine,0.12,True
447,True,True,SFace,euclidean,0.09,True
448,True,True,VGG-Face,cosine,0.61,True
449,True,True,VGG-Face,euclidean,0.67,True
450,True,True,Facenet,cosine,0.26,True
451,True,True,Facenet,euclidean,0.23,True
452,True,True,Facenet512,cosine,0.25,True
453,True,True,Facenet512,euclidean,0.18,True
454,False,True,OpenFace,cosine,0.14,False
455,False,True,OpenFace,euclidean,0.15,False
456,True,True,DeepFace,cosine,0.23,True
457,True,True,DeepFace,euclidean,0.31,True
458,True,True,ArcFace,cosine,0.37,True
459,True,True,ArcFace,euclidean,0.31,True
460,True,True,Dlib,cosine,0.15,True
461,True,True,Dlib,euclidean,0.16,True
462,True,True,SFace,cosine,0.12,True
463,True,True,SFace,euclidean,0.08,True
464,True,True,VGG-Face,cosine,0.77,True
465,True,True,VGG-Face,euclidean,0.51,True
466,True,True,Facenet,cosine,0.29,True
467,True,True,Facenet,euclidean,0.28,True
468,True,True,Facenet512,cosine,0.25,True
469,True,True,Facenet512,euclidean,0.23,True
470,False,True,OpenFace,cosine,0.13,False
471,False,True,OpenFace,euclidean,0.17,False
472,False,True,DeepFace,cosine,0.26,False
473,True,True,DeepFace,euclidean,0.3,True
474,True,True,ArcFace,cosine,0.47,True
475,False,True,ArcFace,euclidean,0.4,False
476,True,True,Dlib,cosine,0.53,True
477,True,True,Dlib,euclidean,0.23,True
478,True,True,SFace,cosine,0.12,True
479,False,True,SFace,euclidean,0.08,False
480,True,True,VGG-Face,cosine,0.54,True
481,True,True,VGG-Face,euclidean,0.7,True
482,True,True,Facenet,cosine,0.3,True
483,True,True,Facenet,euclidean,0.24,True
484,True,True,Facenet512,cosine,0.21,True
485,True,True,Facenet512,euclidean,0.2,True
486,False,True,OpenFace,cosine,0.14,False
487,False,True,OpenFace,euclidean,0.15,False
488,True,True,DeepFace,cosine,0.22,True
489,True,True,DeepFace,euclidean,0.22,True
490,True,True,ArcFace,cosine,0.25,True
491,True,True,ArcFace,euclidean,0.27,True
492,True,True,Dlib,cosine,0.13,True
493,True,True,Dlib,euclidean,0.22,True
494,True,True,SFace,cosine,0.12,True
495,False,True,SFace,euclidean,0.07,False
496,True,True,VGG-Face,cosine,0.52,True
497,True,True,VGG-Face,euclidean,0.48,True
498,True,True,Facenet,cosine,0.18,True
499,True,True,Facenet,euclidean,0.18,True
500,True,True,Facenet512,cosine,0.19,True
501,True,True,Facenet512,euclidean,0.19,True
502,False,True,OpenFace,cosine,0.15,False
503,False,True,OpenFace,euclidean,0.15,False
504,True,True,DeepFace,cosine,0.24,True
505,True,True,DeepFace,euclidean,0.24,True
506,True,True,ArcFace,cosine,0.25,True
507,True,True,ArcFace,euclidean,0.25,True
508,True,True,Dlib,cosine,0.12,True
509,True,True,Dlib,euclidean,0.14,True
510,True,True,SFace,cosine,0.11,True
511,True,True,SFace,euclidean,0.07,True
512,True,True,VGG-Face,cosine,0.51,True
513,True,True,VGG-Face,euclidean,0.55,True
514,True,True,Facenet,cosine,0.18,True
515,True,True,Facenet,euclidean,0.19,True
516,True,True,Facenet512,cosine,0.17,True
517,True,True,Facenet512,euclidean,0.19,True
518,False,True,OpenFace,cosine,0.13,False
519,False,True,OpenFace,euclidean,0.13,False
520,True,True,DeepFace,cosine,0.22,True
521,True,True,DeepFace,euclidean,0.22,True
522,True,True,ArcFace,cosine,0.26,True
523,True,True,ArcFace,euclidean,0.27,True
524,True,True,Dlib,cosine,0.19,True
525,True,True,Dlib,euclidean,0.42,True
526,True,True,SFace,cosine,0.13,True
527,True,True,SFace,euclidean,0.1,True
528,True,True,VGG-Face,cosine,0.72,True
529,True,True,VGG-Face,euclidean,0.7,True
530,True,True,Facenet,cosine,0.26,True
531,True,True,Facenet,euclidean,0.23,True
532,True,True,Facenet512,cosine,0.25,True
533,True,True,Facenet512,euclidean,0.25,True
534,False,True,OpenFace,cosine,0.23,False
535,False,True,OpenFace,euclidean,0.18,False
536,True,True,DeepFace,cosine,0.28,True
537,True,True,DeepFace,euclidean,0.3,True
538,True,True,ArcFace,cosine,0.31,True
539,True,True,ArcFace,euclidean,0.28,True
540,True,True,Dlib,cosine,0.16,True
541,True,True,Dlib,euclidean,0.19,True
542,True,True,SFace,cosine,0.12,True
543,True,True,SFace,euclidean,0.07,True
544,True,True,VGG-Face,cosine,0.55,True
545,True,True,VGG-Face,euclidean,0.52,True
546,True,True,Facenet,cosine,0.18,True
547,True,True,Facenet,euclidean,0.18,True
548,True,True,Facenet512,cosine,0.19,True
549,True,True,Facenet512,euclidean,0.18,True
550,False,True,OpenFace,cosine,0.13,False
551,False,True,OpenFace,euclidean,0.13,False
552,True,True,DeepFace,cosine,0.25,True
553,True,True,DeepFace,euclidean,0.22,True
554,True,True,ArcFace,cosine,0.33,True
555,True,True,ArcFace,euclidean,0.39,True
556,True,True,Dlib,cosine,0.27,True
557,True,True,Dlib,euclidean,0.23,True
558,False,True,SFace,cosine,0.15,False
559,False,True,SFace,euclidean,0.1,False
560,True,True,VGG-Face,cosine,0.58,True
561,True,True,VGG-Face,euclidean,0.5,True
562,False,True,Facenet,cosine,0.18,False
563,False,True,Facenet,euclidean,0.26,False
564,False,True,Facenet512,cosine,0.27,False
565,True,True,Facenet512,euclidean,0.24,True
566,False,True,OpenFace,cosine,0.17,False
567,False,True,OpenFace,euclidean,0.15,False
568,False,True,DeepFace,cosine,0.36,False
569,False,True,DeepFace,euclidean,0.29,False
570,False,True,ArcFace,cosine,0.42,False
571,False,True,ArcFace,euclidean,0.48,False
572,False,True,Dlib,cosine,0.32,False
573,False,True,Dlib,euclidean,0.29,False
574,False,True,SFace,cosine,0.13,False
575,False,True,SFace,euclidean,0.1,False
576,True,True,VGG-Face,cosine,0.61,True
577,True,True,VGG-Face,euclidean,0.57,True
578,True,True,Facenet,cosine,0.2,True
579,True,True,Facenet,euclidean,0.22,True
580,True,True,Facenet512,cosine,0.23,True
581,True,True,Facenet512,euclidean,0.18,True
582,False,True,OpenFace,cosine,0.16,False
583,False,True,OpenFace,euclidean,0.14,False
584,False,True,DeepFace,cosine,0.29,False
585,False,True,DeepFace,euclidean,0.35,False
586,True,True,ArcFace,cosine,0.37,True
587,False,True,ArcFace,euclidean,0.41,False
588,False,True,Dlib,cosine,0.22,False
589,False,True,Dlib,euclidean,0.3,False
590,True,True,SFace,cosine,0.14,True
591,False,True,SFace,euclidean,0.08,False
592,True,True,VGG-Face,cosine,0.7,True
593,True,True,VGG-Face,euclidean,0.65,True
594,True,True,Facenet,cosine,0.18,True
595,True,True,Facenet,euclidean,0.18,True
596,True,True,Facenet512,cosine,0.24,True
597,True,True,Facenet512,euclidean,0.25,True
598,False,True,OpenFace,cosine,0.13,False
599,False,True,OpenFace,euclidean,0.14,False
600,True,True,DeepFace,cosine,0.2,True
601,True,True,DeepFace,euclidean,0.2,True
602,True,True,ArcFace,cosine,0.24,True
603,True,True,ArcFace,euclidean,0.23,True
604,True,True,Dlib,cosine,0.12,True
605,True,True,Dlib,euclidean,0.15,True
606,True,True,SFace,cosine,0.1,True
607,True,True,SFace,euclidean,0.07,True
608,True,True,VGG-Face,cosine,0.53,True
609,True,True,VGG-Face,euclidean,0.56,True
610,True,True,Facenet,cosine,0.18,True
611,True,True,Facenet,euclidean,0.2,True
612,True,True,Facenet512,cosine,0.23,True
613,True,True,Facenet512,euclidean,0.21,True
614,False,True,OpenFace,cosine,0.15,False
615,False,True,OpenFace,euclidean,0.14,False
616,True,True,DeepFace,cosine,0.24,True
617,True,True,DeepFace,euclidean,0.35,True
618,True,True,ArcFace,cosine,0.27,True
619,True,True,ArcFace,euclidean,0.23,True
620,True,True,Dlib,cosine,0.12,True
621,True,True,Dlib,euclidean,0.14,True
622,True,True,SFace,cosine,0.1,True
623,True,True,SFace,euclidean,0.06,True
624,True,True,VGG-Face,cosine,0.63,True
625,True,True,VGG-Face,euclidean,0.46,True
626,True,True,Facenet,cosine,0.18,True
627,True,True,Facenet,euclidean,0.17,True
628,True,True,Facenet512,cosine,0.18,True
629,True,True,Facenet512,euclidean,0.18,True
