,computed_result,actual_result,model,metric,model_correct
190,False,True,SFace,cosine,False
191,True,True,SFace,euclidean,True
192,True,True,VGG-Face,cosine,True
193,True,True,VGG-Face,euclidean,True
194,True,True,Facenet,cosine,True
195,True,True,Facenet,euclidean,True
196,True,True,Facenet512,cosine,True
197,True,True,Facenet512,euclidean,True
198,False,True,OpenFace,cosine,False
199,False,True,OpenFace,euclidean,False
200,False,True,DeepFace,cosine,False
201,True,True,DeepFace,euclidean,True
202,True,True,ArcFace,cosine,True
203,True,True,ArcFace,euclidean,True
204,True,True,Dlib,cosine,True
205,True,True,Dlib,euclidean,True
206,True,True,SFace,cosine,True
207,True,True,SFace,euclidean,True
208,False,False,VGG-Face,cosine,True
209,True,False,VGG-Face,euclidean,False
210,False,False,Facenet,cosine,True
211,False,False,Facenet,euclidean,True
212,False,False,Facenet512,cosine,True
213,False,False,Facenet512,euclidean,True
214,False,False,OpenFace,cosine,True
215,False,False,OpenFace,euclidean,True
216,False,False,DeepFace,cosine,True
217,False,False,DeepFace,euclidean,True
218,False,False,ArcFace,cosine,True
219,True,False,ArcFace,euclidean,False
220,False,False,Dlib,cosine,True
221,False,False,Dlib,euclidean,True
222,False,False,SFace,cosine,True
223,False,False,SFace,euclidean,True
224,False,False,VGG-Face,cosine,True
225,True,False,VGG-Face,euclidean,False
226,False,False,Facenet,cosine,True
227,True,False,Facenet,euclidean,False
228,False,False,Facenet512,cosine,True
229,False,False,Facenet512,euclidean,True
230,False,False,OpenFace,cosine,True
231,False,False,OpenFace,euclidean,True
232,False,False,DeepFace,cosine,True
233,False,False,DeepFace,euclidean,True
234,False,False,ArcFace,cosine,True
235,False,False,ArcFace,euclidean,True
236,False,False,Dlib,cosine,True
237,False,False,Dlib,euclidean,True
238,False,False,SFace,cosine,True
239,True,False,SFace,euclidean,False
240,False,False,VGG-Face,cosine,True
241,True,False,VGG-Face,euclidean,False
242,False,False,Facenet,cosine,True
243,False,False,Facenet,euclidean,True
244,False,False,Facenet512,cosine,True
245,False,False,Facenet512,euclidean,True
246,False,False,OpenFace,cosine,True
247,False,False,OpenFace,euclidean,True
248,False,False,DeepFace,cosine,True
249,False,False,DeepFace,euclidean,True
250,False,False,ArcFace,cosine,True
251,False,False,ArcFace,euclidean,True
252,False,False,Dlib,cosine,True
253,False,False,Dlib,euclidean,True
254,False,False,SFace,cosine,True
255,False,False,SFace,euclidean,True
256,True,True,VGG-Face,cosine,True
257,True,True,VGG-Face,euclidean,True
258,True,True,Facenet,cosine,True
259,True,True,Facenet,euclidean,True
260,False,True,Facenet512,cosine,False
261,True,True,Facenet512,euclidean,True
262,False,True,OpenFace,cosine,False
263,False,True,OpenFace,euclidean,False
264,False,True,DeepFace,cosine,False
265,False,True,DeepFace,euclidean,False
266,True,True,ArcFace,cosine,True
267,False,True,ArcFace,euclidean,False
268,True,True,Dlib,cosine,True
269,True,True,Dlib,euclidean,True
270,True,True,SFace,cosine,True
271,True,True,SFace,euclidean,True
272,True,True,VGG-Face,cosine,True
273,True,True,VGG-Face,euclidean,True
274,True,True,Facenet,cosine,True
275,True,True,Facenet,euclidean,True
276,False,True,Facenet512,cosine,False
277,True,True,Facenet512,euclidean,True
278,False,True,OpenFace,cosine,False
279,False,True,OpenFace,euclidean,False
280,True,True,DeepFace,cosine,True
281,False,True,DeepFace,euclidean,False
282,True,True,ArcFace,cosine,True
283,True,True,ArcFace,euclidean,True
284,True,True,Dlib,cosine,True
285,True,True,Dlib,euclidean,True
286,True,True,SFace,cosine,True
287,False,True,SFace,euclidean,False
288,True,True,VGG-Face,cosine,True
289,True,True,VGG-Face,euclidean,True
290,False,True,Facenet,cosine,False
291,False,True,Facenet,euclidean,False
292,False,True,Facenet512,cosine,False
293,True,True,Facenet512,euclidean,True
294,False,True,OpenFace,cosine,False
295,True,True,OpenFace,euclidean,True
296,False,True,DeepFace,cosine,False
297,False,True,DeepFace,euclidean,False
298,False,True,ArcFace,cosine,False
299,False,True,ArcFace,euclidean,False
300,False,True,Dlib,cosine,False
301,False,True,Dlib,euclidean,False
302,False,True,SFace,cosine,False
303,False,True,SFace,euclidean,False
304,False,False,VGG-Face,cosine,True
305,False,False,VGG-Face,euclidean,True
306,False,False,Facenet,cosine,True
307,False,False,Facenet,euclidean,True
308,False,False,Facenet512,cosine,True
309,False,False,Facenet512,euclidean,True
310,False,False,OpenFace,cosine,True
311,False,False,OpenFace,euclidean,True
312,False,False,DeepFace,cosine,True
313,False,False,DeepFace,euclidean,True
314,False,False,ArcFace,cosine,True
315,False,False,ArcFace,euclidean,True
316,False,False,Dlib,cosine,True
317,False,False,Dlib,euclidean,True
318,False,False,SFace,cosine,True
319,False,False,SFace,euclidean,True
320,False,False,VGG-Face,cosine,True
321,False,False,VGG-Face,euclidean,True
322,False,False,Facenet,cosine,True
323,False,False,Facenet,euclidean,True
324,False,False,Facenet512,cosine,True
325,False,False,Facenet512,euclidean,True
326,False,False,OpenFace,cosine,True
327,False,False,OpenFace,euclidean,True
328,False,False,DeepFace,cosine,True
329,False,False,DeepFace,euclidean,True
330,False,False,ArcFace,cosine,True
331,False,False,ArcFace,euclidean,True
332,False,False,Dlib,cosine,True
333,False,False,Dlib,euclidean,True
334,False,False,SFace,cosine,True
335,False,False,SFace,euclidean,True
336,False,False,VGG-Face,cosine,True
337,True,False,VGG-Face,euclidean,False
338,False,False,Facenet,cosine,True
339,False,False,Facenet,euclidean,True
340,False,False,Facenet512,cosine,True
341,False,False,Facenet512,euclidean,True
342,False,False,OpenFace,cosine,True
343,False,False,OpenFace,euclidean,True
344,False,False,DeepFace,cosine,True
345,False,False,DeepFace,euclidean,True
346,False,False,ArcFace,cosine,True
347,False,False,ArcFace,euclidean,True
348,False,False,Dlib,cosine,True
349,False,False,Dlib,euclidean,True
350,False,False,SFace,cosine,True
351,False,False,SFace,euclidean,True
352,True,True,VGG-Face,cosine,True
353,True,True,VGG-Face,euclidean,True
354,True,True,Facenet,cosine,True
355,True,True,Facenet,euclidean,True
356,True,True,Facenet512,cosine,True
357,True,True,Facenet512,euclidean,True
358,False,True,OpenFace,cosine,False
359,False,True,OpenFace,euclidean,False
360,False,True,DeepFace,cosine,False
361,True,True,DeepFace,euclidean,True
362,True,True,ArcFace,cosine,True
363,True,True,ArcFace,euclidean,True
364,True,True,Dlib,cosine,True
365,True,True,Dlib,euclidean,True
366,True,True,SFace,cosine,True
367,False,True,SFace,euclidean,False
368,True,True,VGG-Face,cosine,True
369,True,True,VGG-Face,euclidean,True
370,True,True,Facenet,cosine,True
371,True,True,Facenet,euclidean,True
372,True,True,Facenet512,cosine,True
373,True,True,Facenet512,euclidean,True
374,False,True,OpenFace,cosine,False
375,False,True,OpenFace,euclidean,False
376,False,True,DeepFace,cosine,False
377,True,True,DeepFace,euclidean,True
378,True,True,ArcFace,cosine,True
379,True,True,ArcFace,euclidean,True
380,True,True,Dlib,cosine,True
381,True,True,Dlib,euclidean,True
382,True,True,SFace,cosine,True
383,False,True,SFace,euclidean,False
384,True,True,VGG-Face,cosine,True
385,True,True,VGG-Face,euclidean,True
386,True,True,Facenet,cosine,True
387,True,True,Facenet,euclidean,True
388,False,True,Facenet512,cosine,False
389,True,True,Facenet512,euclidean,True
390,False,True,OpenFace,cosine,False
391,False,True,OpenFace,euclidean,False
392,True,True,DeepFace,cosine,True
393,True,True,DeepFace,euclidean,True
394,True,True,ArcFace,cosine,True
395,False,True,ArcFace,euclidean,False
396,True,True,Dlib,cosine,True
397,True,True,Dlib,euclidean,True
398,True,True,SFace,cosine,True
399,False,True,SFace,euclidean,False
400,True,True,VGG-Face,cosine,True
401,True,True,VGG-Face,euclidean,True
402,True,True,Facenet,cosine,True
403,False,True,Facenet,euclidean,False
404,False,True,Facenet512,cosine,False
405,True,True,Facenet512,euclidean,True
406,False,True,OpenFace,cosine,False
407,False,True,OpenFace,euclidean,False
408,True,True,DeepFace,cosine,True
409,True,True,DeepFace,euclidean,True
410,True,True,ArcFace,cosine,True
411,True,True,ArcFace,euclidean,True
412,True,True,Dlib,cosine,True
413,True,True,Dlib,euclidean,True
414,True,True,SFace,cosine,True
415,True,True,SFace,euclidean,True
416,True,True,VGG-Face,cosine,True
417,True,True,VGG-Face,euclidean,True
418,True,True,Facenet,cosine,True
419,True,True,Facenet,euclidean,True
420,True,True,Facenet512,cosine,True
421,True,True,Facenet512,euclidean,True
422,False,True,OpenFace,cosine,False
423,True,True,OpenFace,euclidean,True
424,True,True,DeepFace,cosine,True
425,True,True,DeepFace,euclidean,True
426,True,True,ArcFace,cosine,True
427,True,True,ArcFace,euclidean,True
428,True,True,Dlib,cosine,True
429,True,True,Dlib,euclidean,True
430,True,True,SFace,cosine,True
431,True,True,SFace,euclidean,True
432,True,True,VGG-Face,cosine,True
433,True,True,VGG-Face,euclidean,True
434,True,True,Facenet,cosine,True
435,True,True,Facenet,euclidean,True
436,True,True,Facenet512,cosine,True
437,True,True,Facenet512,euclidean,True
438,False,True,OpenFace,cosine,False
439,False,True,OpenFace,euclidean,False
440,True,True,DeepFace,cosine,True
441,True,True,DeepFace,euclidean,True
442,True,True,ArcFace,cosine,True
443,True,True,ArcFace,euclidean,True
444,True,True,Dlib,cosine,True
445,True,True,Dlib,euclidean,True
446,True,True,SFace,cosine,True
447,True,True,SFace,euclidean,True
448,True,True,VGG-Face,cosine,True
449,True,True,VGG-Face,euclidean,True
450,True,True,Facenet,cosine,True
451,True,True,Facenet,euclidean,True
452,True,True,Facenet512,cosine,True
453,True,True,Facenet512,euclidean,True
454,False,True,OpenFace,cosine,False
455,False,True,OpenFace,euclidean,False
456,True,True,DeepFace,cosine,True
457,True,True,DeepFace,euclidean,True
458,True,True,ArcFace,cosine,True
459,True,True,ArcFace,euclidean,True
460,True,True,Dlib,cosine,True
461,True,True,Dlib,euclidean,True
462,True,True,SFace,cosine,True
463,True,True,SFace,euclidean,True
464,True,True,VGG-Face,cosine,True
465,True,True,VGG-Face,euclidean,True
466,True,True,Facenet,cosine,True
467,True,True,Facenet,euclidean,True
468,True,True,Facenet512,cosine,True
469,True,True,Facenet512,euclidean,True
470,False,True,OpenFace,cosine,False
471,False,True,OpenFace,euclidean,False
472,False,True,DeepFace,cosine,False
473,True,True,DeepFace,euclidean,True
474,True,True,ArcFace,cosine,True
475,False,True,ArcFace,euclidean,False
476,True,True,Dlib,cosine,True
477,True,True,Dlib,euclidean,True
478,True,True,SFace,cosine,True
479,False,True,SFace,euclidean,False
480,True,True,VGG-Face,cosine,True
481,True,True,VGG-Face,euclidean,True
482,True,True,Facenet,cosine,True
483,True,True,Facenet,euclidean,True
484,True,True,Facenet512,cosine,True
485,True,True,Facenet512,euclidean,True
486,False,True,OpenFace,cosine,False
487,False,True,OpenFace,euclidean,False
488,True,True,DeepFace,cosine,True
489,True,True,DeepFace,euclidean,True
490,True,True,ArcFace,cosine,True
491,True,True,ArcFace,euclidean,True
492,True,True,Dlib,cosine,True
493,True,True,Dlib,euclidean,True
494,True,True,SFace,cosine,True
495,False,True,SFace,euclidean,False
496,True,True,VGG-Face,cosine,True
497,True,True,VGG-Face,euclidean,True
498,True,True,Facenet,cosine,True
499,True,True,Facenet,euclidean,True
500,True,True,Facenet512,cosine,True
501,True,True,Facenet512,euclidean,True
502,False,True,OpenFace,cosine,False
503,False,True,OpenFace,euclidean,False
504,True,True,DeepFace,cosine,True
505,True,True,DeepFace,euclidean,True
506,True,True,ArcFace,cosine,True
507,True,True,ArcFace,euclidean,True
508,True,True,Dlib,cosine,True
509,True,True,Dlib,euclidean,True
510,True,True,SFace,cosine,True
511,True,True,SFace,euclidean,True
512,True,True,VGG-Face,cosine,True
513,True,True,VGG-Face,euclidean,True
514,True,True,Facenet,cosine,True
515,True,True,Facenet,euclidean,True
516,True,True,Facenet512,cosine,True
517,True,True,Facenet512,euclidean,True
518,False,True,OpenFace,cosine,False
519,False,True,OpenFace,euclidean,False
520,True,True,DeepFace,cosine,True
521,True,True,DeepFace,euclidean,True
522,True,True,ArcFace,cosine,True
523,True,True,ArcFace,euclidean,True
524,True,True,Dlib,cosine,True
525,True,True,Dlib,euclidean,True
526,True,True,SFace,cosine,True
527,True,True,SFace,euclidean,True
528,True,True,VGG-Face,cosine,True
529,True,True,VGG-Face,euclidean,True
530,True,True,Facenet,cosine,True
531,True,True,Facenet,euclidean,True
532,True,True,Facenet512,cosine,True
533,True,True,Facenet512,euclidean,True
534,False,True,OpenFace,cosine,False
535,False,True,OpenFace,euclidean,False
536,True,True,DeepFace,cosine,True
537,True,True,DeepFace,euclidean,True
538,True,True,ArcFace,cosine,True
539,True,True,ArcFace,euclidean,True
540,True,True,Dlib,cosine,True
541,True,True,Dlib,euclidean,True
542,True,True,SFace,cosine,True
543,True,True,SFace,euclidean,True
544,True,True,VGG-Face,cosine,True
545,True,True,VGG-Face,euclidean,True
546,True,True,Facenet,cosine,True
547,True,True,Facenet,euclidean,True
548,True,True,Facenet512,cosine,True
549,True,True,Facenet512,euclidean,True
550,False,True,OpenFace,cosine,False
551,False,True,OpenFace,euclidean,False
552,True,True,DeepFace,cosine,True
553,True,True,DeepFace,euclidean,True
554,True,True,ArcFace,cosine,True
555,True,True,ArcFace,euclidean,True
556,True,True,Dlib,cosine,True
557,True,True,Dlib,euclidean,True
558,False,True,SFace,cosine,False
559,False,True,SFace,euclidean,False
560,True,True,VGG-Face,cosine,True
561,True,True,VGG-Face,euclidean,True
562,False,True,Facenet,cosine,False
563,False,True,Facenet,euclidean,False
564,False,True,Facenet512,cosine,False
565,True,True,Facenet512,euclidean,True
566,False,True,OpenFace,cosine,False
567,False,True,OpenFace,euclidean,False
568,False,True,DeepFace,cosine,False
569,False,True,DeepFace,euclidean,False
570,False,True,ArcFace,cosine,False
571,False,True,ArcFace,euclidean,False
572,False,True,Dlib,cosine,False
573,False,True,Dlib,euclidean,False
574,False,True,SFace,cosine,False
575,False,True,SFace,euclidean,False
576,True,True,VGG-Face,cosine,True
577,True,True,VGG-Face,euclidean,True
578,True,True,Facenet,cosine,True
579,True,True,Facenet,euclidean,True
580,True,True,Facenet512,cosine,True
581,True,True,Facenet512,euclidean,True
582,False,True,OpenFace,cosine,False
583,False,True,OpenFace,euclidean,False
584,False,True,DeepFace,cosine,False
585,False,True,DeepFace,euclidean,False
586,True,True,ArcFace,cosine,True
587,False,True,ArcFace,euclidean,False
588,False,True,Dlib,cosine,False
589,False,True,Dlib,euclidean,False
590,True,True,SFace,cosine,True
591,False,True,SFace,euclidean,False
592,True,True,VGG-Face,cosine,True
593,True,True,VGG-Face,euclidean,True
594,True,True,Facenet,cosine,True
595,True,True,Facenet,euclidean,True
596,True,True,Facenet512,cosine,True
597,True,True,Facenet512,euclidean,True
598,False,True,OpenFace,cosine,False
599,False,True,OpenFace,euclidean,False
600,True,True,DeepFace,cosine,True
601,True,True,DeepFace,euclidean,True
602,True,True,ArcFace,cosine,True
603,True,True,ArcFace,euclidean,True
604,True,True,Dlib,cosine,True
605,True,True,Dlib,euclidean,True
606,True,True,SFace,cosine,True
607,True,True,SFace,euclidean,True
608,True,True,VGG-Face,cosine,True
609,True,True,VGG-Face,euclidean,True
610,True,True,Facenet,cosine,True
611,True,True,Facenet,euclidean,True
612,True,True,Facenet512,cosine,True
613,True,True,Facenet512,euclidean,True
614,False,True,OpenFace,cosine,False
615,False,True,OpenFace,euclidean,False
616,True,True,DeepFace,cosine,True
617,True,True,DeepFace,euclidean,True
618,True,True,ArcFace,cosine,True
619,True,True,ArcFace,euclidean,True
620,True,True,Dlib,cosine,True
621,True,True,Dlib,euclidean,True
622,True,True,SFace,cosine,True
623,True,True,SFace,euclidean,True
624,True,True,VGG-Face,cosine,True
625,True,True,VGG-Face,euclidean,True
626,True,True,Facenet,cosine,True
627,True,True,Facenet,euclidean,True
628,True,True,Facenet512,cosine,True
629,True,True,Facenet512,euclidean,True
630,False,True,OpenFace,cosine,False
631,False,True,OpenFace,euclidean,False
632,True,True,DeepFace,cosine,True
633,True,True,DeepFace,euclidean,True
634,True,True,ArcFace,cosine,True
635,True,True,ArcFace,euclidean,True
636,True,True,Dlib,cosine,True
637,True,True,Dlib,euclidean,True
638,True,True,SFace,cosine,True
639,True,True,SFace,euclidean,True
640,False,False,VGG-Face,cosine,True
641,False,False,VGG-Face,euclidean,True
642,False,False,Facenet,cosine,True
643,False,False,Facenet,euclidean,True
644,False,False,Facenet512,cosine,True
645,False,False,Facenet512,euclidean,True
646,False,False,OpenFace,cosine,True
647,False,False,OpenFace,euclidean,True
648,False,False,DeepFace,cosine,True
649,False,False,DeepFace,euclidean,True
650,False,False,ArcFace,cosine,True
651,False,False,ArcFace,euclidean,True
652,False,False,Dlib,cosine,True
653,False,False,Dlib,euclidean,True
654,False,False,SFace,cosine,True
655,False,False,SFace,euclidean,True
656,False,False,VGG-Face,cosine,True
657,False,False,VGG-Face,euclidean,True
658,False,False,Facenet,cosine,True
659,False,False,Facenet,euclidean,True
660,False,False,Facenet512,cosine,True
661,False,False,Facenet512,euclidean,True
662,False,False,OpenFace,cosine,True
663,False,False,OpenFace,euclidean,True
664,False,False,DeepFace,cosine,True
665,True,False,DeepFace,euclidean,False
666,False,False,ArcFace,cosine,True
667,False,False,ArcFace,euclidean,True
668,False,False,Dlib,cosine,True
669,False,False,Dlib,euclidean,True
670,False,False,SFace,cosine,True
671,False,False,SFace,euclidean,True
672,False,False,VGG-Face,cosine,True
673,True,False,VGG-Face,euclidean,False
674,False,False,Facenet,cosine,True
675,False,False,Facenet,euclidean,True
676,False,False,Facenet512,cosine,True
677,False,False,Facenet512,euclidean,True
678,False,False,OpenFace,cosine,True
679,False,False,OpenFace,euclidean,True
680,False,False,DeepFace,cosine,True
681,True,False,DeepFace,euclidean,False
682,False,False,ArcFace,cosine,True
683,False,False,ArcFace,euclidean,True
684,False,False,Dlib,cosine,True
685,False,False,Dlib,euclidean,True
686,False,False,SFace,cosine,True
687,False,False,SFace,euclidean,True
688,False,False,VGG-Face,cosine,True
689,False,False,VGG-Face,euclidean,True
690,False,False,Facenet,cosine,True
691,False,False,Facenet,euclidean,True
692,False,False,Facenet512,cosine,True
693,False,False,Facenet512,euclidean,True
694,False,False,OpenFace,cosine,True
695,False,False,OpenFace,euclidean,True
696,False,False,DeepFace,cosine,True
697,False,False,DeepFace,euclidean,True
698,False,False,ArcFace,cosine,True
699,False,False,ArcFace,euclidean,True
700,False,False,Dlib,cosine,True
701,False,False,Dlib,euclidean,True
702,False,False,SFace,cosine,True
703,False,False,SFace,euclidean,True
704,False,False,VGG-Face,cosine,True
705,False,False,VGG-Face,euclidean,True
706,False,False,Facenet,cosine,True
707,False,False,Facenet,euclidean,True
708,False,False,Facenet512,cosine,True
709,False,False,Facenet512,euclidean,True
710,False,False,OpenFace,cosine,True
711,False,False,OpenFace,euclidean,True
712,False,False,DeepFace,cosine,True
713,False,False,DeepFace,euclidean,True
714,False,False,ArcFace,cosine,True
715,False,False,ArcFace,euclidean,True
716,False,False,Dlib,cosine,True
717,False,False,Dlib,euclidean,True
718,False,False,SFace,cosine,True
719,False,False,SFace,euclidean,True
720,False,False,VGG-Face,cosine,True
721,False,False,VGG-Face,euclidean,True
722,False,False,Facenet,cosine,True
723,False,False,Facenet,euclidean,True
724,False,False,Facenet512,cosine,True
725,False,False,Facenet512,euclidean,True
726,False,False,OpenFace,cosine,True
727,False,False,OpenFace,euclidean,True
728,False,False,DeepFace,cosine,True
729,True,False,DeepFace,euclidean,False
730,False,False,ArcFace,cosine,True
731,False,False,ArcFace,euclidean,True
732,False,False,Dlib,cosine,True
733,False,False,Dlib,euclidean,True
734,False,False,SFace,cosine,True
735,False,False,SFace,euclidean,True
736,True,False,VGG-Face,cosine,False
737,True,False,VGG-Face,euclidean,False
738,False,False,Facenet,cosine,True
739,False,False,Facenet,euclidean,True
740,False,False,Facenet512,cosine,True
741,False,False,Facenet512,euclidean,True
742,False,False,OpenFace,cosine,True
743,False,False,OpenFace,euclidean,True
744,False,False,DeepFace,cosine,True
745,True,False,DeepFace,euclidean,False
746,True,False,ArcFace,cosine,False
747,False,False,ArcFace,euclidean,True
748,False,False,Dlib,cosine,True
749,True,False,Dlib,euclidean,False
750,False,False,SFace,cosine,True
751,False,False,SFace,euclidean,True
752,False,False,VGG-Face,cosine,True
753,True,False,VGG-Face,euclidean,False
754,False,False,Facenet,cosine,True
755,False,False,Facenet,euclidean,True
756,False,False,Facenet512,cosine,True
757,False,False,Facenet512,euclidean,True
758,False,False,OpenFace,cosine,True
759,False,False,OpenFace,euclidean,True
760,False,False,DeepFace,cosine,True
761,False,False,DeepFace,euclidean,True
762,False,False,ArcFace,cosine,True
763,False,False,ArcFace,euclidean,True
764,False,False,Dlib,cosine,True
765,False,False,Dlib,euclidean,True
766,False,False,SFace,cosine,True
767,False,False,SFace,euclidean,True
768,False,False,VGG-Face,cosine,True
